,date,ap_daily,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27
121,1950-05-02,21.115,27,18,12,27,56,32,22,32,48,32,18,7,4,5,6,5,6,12,7,9,6,5,7,12,22,39,67
122,1950-05-03,43.157,48,32,18,7,4,5,6,5,6,12,7,9,6,5,7,12,22,39,67,80,56,32,27,18,18,67,48
123,1950-05-04,23.115,6,12,7,9,6,5,7,12,22,39,67,80,56,32,27,18,18,67,48,22,15,12,12,6,27,32,56
124,1950-05-05,22.115,22,39,67,80,56,32,27,18,18,67,48,22,15,12,12,6,27,32,56,56,15,15,27,15,15,15,22
125,1950-05-06,10.063,18,67,48,22,15,12,12,6,27,32,56,56,15,15,27,15,15,15,22,7,7,7,7,12,12,12,18
126,1950-05-07,11.063,27,32,56,56,15,15,27,15,15,15,22,7,7,7,7,12,12,12,18,32,4,15,5,9,9,4,9
127,1950-05-08,5.021,15,15,22,7,7,7,7,12,12,12,18,32,4,15,5,9,9,4,9,7,6,7,4,5,3,3,6
128,1950-05-09,2.0,12,12,18,32,4,15,5,9,9,4,9,7,6,7,4,5,3,3,6,3,3,0,2,2,3,3,4
129,1950-05-10,8.042,9,4,9,7,6,7,4,5,3,3,6,3,3,0,2,2,3,3,4,5,5,6,7,6,4,4,27
130,1950-05-11,14.084,3,3,6,3,3,0,2,2,3,3,4,5,5,6,7,6,4,4,27,18,7,15,12,22,18,12,9
131,1950-05-12,5.021,3,3,4,5,5,6,7,6,4,4,27,18,7,15,12,22,18,12,9,7,5,5,4,2,6,7,6
132,1950-05-13,16.094,4,4,27,18,7,15,12,22,18,12,9,7,5,5,4,2,6,7,6,12,27,18,15,12,12,18,18
133,1950-05-14,17.094,18,12,9,7,5,5,4,2,6,7,6,12,27,18,15,12,12,18,18,18,12,9,15,27,12,15,27
134,1950-05-15,23.115,6,7,6,12,27,18,15,12,12,18,18,18,12,9,15,27,12,15,27,27,18,22,12,9,18,56,22
135,1950-05-16,11.073,12,18,18,18,12,9,15,27,12,15,27,27,18,22,12,9,18,56,22,12,15,18,9,7,12,9,9
136,1950-05-17,6.031,12,15,27,27,18,22,12,9,18,56,22,12,15,18,9,7,12,9,9,9,3,6,5,9,6,5,6
137,1950-05-18,4.021,18,56,22,12,15,18,9,7,12,9,9,9,3,6,5,9,6,5,6,12,5,0,4,3,4,5,3
138,1950-05-19,4.021,12,9,9,9,3,6,5,9,6,5,6,12,5,0,4,3,4,5,3,0,2,2,2,3,15,9,3
139,1950-05-20,8.042,6,5,6,12,5,0,4,3,4,5,3,0,2,2,2,3,15,9,3,6,4,6,4,7,9,12,18
140,1950-05-21,8.042,4,5,3,0,2,2,2,3,15,9,3,6,4,6,4,7,9,12,18,18,12,3,2,5,12,5,4
141,1950-05-22,19.105,15,9,3,6,4,6,4,7,9,12,18,18,12,3,2,5,12,5,4,0,2,7,22,48,27,22,27
142,1950-05-23,33.136,9,12,18,18,12,3,2,5,12,5,4,0,2,7,22,48,27,22,27,32,18,27,32,32,56,32,32
143,1950-05-24,12.073,12,5,4,0,2,7,22,48,27,22,27,32,18,27,32,32,56,32,32,22,18,15,6,4,5,12,12
144,1950-05-25,10.063,27,22,27,32,18,27,32,32,56,32,32,22,18,15,6,4,5,12,12,12,4,5,9,9,22,9,12
145,1950-05-26,15.084,56,32,32,22,18,15,6,4,5,12,12,12,4,5,9,9,22,9,12,12,12,18,22,12,18,18,6
146,1950-05-27,40.157,5,12,12,12,4,5,9,9,22,9,12,12,12,18,22,12,18,18,6,9,12,12,7,48,56,48,32
147,1950-05-28,63.177,22,9,12,12,12,18,22,12,18,18,6,9,12,12,7,48,56,48,32,32,11,80,80,22,27,27,22
148,1950-05-29,22.115,18,18,6,9,12,12,7,48,56,48,32,32,11,80,80,22,27,27,22,27,27,9,27,39,18,18,15
149,1950-05-30,16.094,56,48,32,32,11,80,80,22,27,27,22,27,27,9,27,39,18,18,15,27,32,12,9,12,27,7,6
150,1950-05-31,6.031,27,27,22,27,27,9,27,39,18,18,15,27,32,12,9,12,27,7,6,7,6,3,2,6,3,3,18
